5.140, 0.2950
5.140, 0.2960
5.140, 0.2960
5.140, 0.2960
5.140, 0.2960
5.140, 0.2960
5.140, 0.2980
5.140, 0.2960
5.140, 0.3130
5.160, 0.4930
5.160, 0.4410
5.160, 0.4440
5.160, 0.4310
5.160, 0.4420
5.160, 0.4430
5.160, 0.4850
5.160, 0.4400
5.160, 0.4430
5.160, 0.4390
5.160, 0.4310
5.160, 0.4390
5.160, 0.4290
5.160, 0.4310
5.160, 0.4310
5.160, 0.4430
5.160, 0.4320
5.160, 0.4310
5.160, 0.4420
5.160, 0.4440
5.160, 0.4310
5.160, 0.4420
5.160, 0.4420
5.160, 0.4410
5.160, 0.4430
5.160, 0.4400
5.160, 0.4480
5.160, 0.4310
5.160, 0.4330
5.160, 0.4300
5.160, 0.4400
5.160, 0.4410
5.150, 0.3770
5.150, 0.3830
5.150, 0.3640
5.150, 0.3570
5.150, 0.3530
5.150, 0.3440
5.150, 0.3550
5.150, 0.3560
5.150, 0.3550
5.150, 0.3530
5.150, 0.3540
5.150, 0.3440
5.150, 0.3440