lora_ff_8mhz_2,lora_ff_8mhz_4
0.00,0.00
0.47,0.20
2.07,0.07
2.60,-0.13
2.60,-0.40
3.60,0.20
4.00,0.20
3.93,0.07
3.53,0.07
2.73,0.00
2.73,0.00
2.80,0.47
3.20,3.53
3.80,4.27
4.20,3.20
3.80,3.73
3.00,3.60
2.80,3.53
2.80,3.40
3.27,3.47
3.67,3.60
3.80,3.53
3.80,1.27
3.27,-0.87
3.00,-0.07
2.67,0.27
3.07,-0.13
3.40,0.00
3.67,0.00
3.67,0.40
3.40,0.00
3.07,0.07
2.80,0.47
2.93,4.33
3.20,4.33
4.00,3.13
3.87,3.53
3.33,3.60
3.20,3.60
2.80,3.27
2.80,3.40
3.27,3.60
3.67,3.47
3.67,0.20
3.40,-1.00
3.20,0.20
2.80,0.20
3.00,0.00
3.40,0.00
3.53,0.07
3.80,0.20
3.67,-0.27
3.27,0.00
2.80,1.33
3.07,4.27
3.00,3.80
3.80,3.00
3.67,3.60
3.40,3.60
3.33,3.60
2.93,3.20
2.93,3.60
3.33,3.60
3.53,2.93
3.80,0.00
3.40,-0.80
3.00,0.40
2.80,0.00
3.07,0.00
3.40,0.00
3.67,0.13
3.67,0.13
3.40,-0.27
3.07,0.20
2.80,2.07
3.07,4.60
3.07,3.80
3.80,3.20
3.80,3.60
3.27,3.60
3.27,3.60
2.80,3.40
3.07,3.53
3.27,3.53
3.67,3.13
3.67,-0.60
3.40,-0.73
3.07,0.47
2.80,-0.20
3.20,0.00
3.20,0.00
3.40,0.07
3.40,0.07
3.33,0.00
3.20,0.13
2.93,2.47
3.20,4.60
3.40,3.53
3.80,3.27
3.67,3.60
3.27,3.60
3.07,3.53
2.80,3.40
3.20,3.60
3.33,3.47
3.53,2.27
3.53,-0.67
3.60,-0.47
2.93,0.60
2.93,0.00
3.20,0.00
3.27,0.00
3.67,0.13
3.40,0.00
3.40,-0.13
3.07,0.27
3.07,3.07
3.07,4.40
3.20,3.33
3.80,3.60
3.53,3.73
3.20,3.60
3.20,3.47
2.80,3.20
3.07,3.60
3.40,3.53
3.67,1.67
3.40,-0.87
3.40,-0.20
2.80,0.40
2.80,0.00
3.40,0.00
3.40,0.00
3.67,0.20
3.40,0.07
3.33,0.07
3.20,0.07
2.93,3.93
2.93,4.60
3.53,3.00
3.80,3.40
3.33,3.60
3.33,3.60
3.07,3.40
3.07,3.40
3.20,3.53
3.33,3.40
3.67,0.87
3.67,-1.00
3.20,0.20
2.80,0.20
2.93,-0.27
3.20,-0.27
3.40,0.07
3.67,0.20
3.40,0.00
3.40,0.13
2.80,1.00
3.07,3.93
2.93,3.93
3.60,2.87
3.67,3.60
3.40,3.60
3.33,3.53
2.93,3.13
2.93,3.47
3.20,3.60
3.53,3.27
3.53,-0.07
3.40,-0.27
3.27,0.53
3.20,-0.20
3.33,-0.20
3.20,0.27
3.33,-0.13
3.40,0.13
3.40,0.00
3.33,0.07
3.20,1.00
3.20,4.60
3.20,3.93
3.80,2.87
3.53,3.80
3.20,3.60
3.20,3.60
3.07,3.40
3.07,3.53
3.27,3.53
3.40,3.40
3.80,0.13
3.67,-1.47
2.87,0.40
2.47,0.40
3.00,-0.20
3.40,-0.20
3.53,0.33
3.80,0.20
3.33,0.00
3.20,0.13
2.80,1.80
3.07,4.20
3.13,3.67
3.93,3.27
3.67,3.60
3.27,3.60
3.20,3.53
2.93,3.40
2.93,3.60
3.33,3.47
3.53,2.53
3.53,-0.40
3.67,-0.67
3.00,0.40
2.80,-0.13
3.07,-0.13
3.27,0.00
3.67,0.13
3.67,0.00
3.40,-0.13
3.07,0.07
2.80,2.47
2.80,4.47
3.20,3.40
3.80,3.20
3.53,3.60
3.20,3.60
3.20,3.47
2.80,3.20
3.07,3.60
3.27,3.53
3.67,2.47
3.40,-1.07
3.40,0.13
2.93,0.27
3.20,-0.53
3.33,0.33
3.20,-0.07
3.40,0.07
3.40,0.07
3.40,-0.27
3.27,0.00
2.93,3.27
2.93,4.60
3.40,3.13
3.53,3.27
3.33,3.60
3.20,3.60
3.20,3.53
3.20,3.40
3.20,3.60
3.33,3.47
3.80,1.80
3.53,-1.00
3.47,-0.47
2.40,0.60
2.80,-0.13
3.33,-0.53
3.40,0.20
3.67,0.33
3.67,0.00
3.27,0.00
2.80,0.60
2.80,3.53
2.93,4.00
3.60,2.93
3.80,3.60
3.40,3.60
3.33,3.60
2.93,3.20
2.80,3.47
3.07,3.60
3.40,3.40
3.67,0.73
3.40,-0.67
3.27,0.40
3.07,-0.07
3.07,-0.47
3.20,0.40
3.33,-0.27
3.40,0.20
3.40,0.07
3.33,0.07
3.20,0.47
3.20,4.20
2.93,4.20
3.53,3.00
3.53,3.67
3.40,3.60
3.40,3.60
3.07,3.27
3.07,3.40
3.20,3.53
3.33,3.40
3.67,0.60
3.67,-1.40
3.13,0.27
2.60,0.40
3.00,-0.20
3.40,-0.47
3.53,0.33
3.80,0.20
3.40,-0.27
3.27,0.00
2.80,1.20
3.07,4.00
3.00,3.80
3.80,3.00
3.67,3.60
3.27,3.60
3.33,3.53
2.93,3.13
2.93,3.47
3.33,3.47
3.53,2.87
3.80,-0.07
3.67,-0.67
3.00,0.40
2.80,-0.13
3.07,-0.13
3.27,0.00
3.40,0.13
3.67,0.13
3.40,0.00
3.20,0.07
2.93,1.80
3.07,4.47
3.07,3.67
3.80,2.93
3.80,3.60
3.27,3.60
3.27,3.60
2.80,3.13
3.07,3.53
3.27,3.53
3.67,3.13
3.67,-0.60
3.40,-0.60
0.80,0.47
-0.53,0.07
-0.80,-0.13
-0.93,-0.40
-0.47,0.07
0.33,0.07
0.53,0.07
0.80,0.20
-0.27,2.73
-0.40,4.60
-0.60,3.27
0.07,3.13
0.33,3.60
0.33,3.60
0.33,3.53
-0.07,3.13
-0.40,3.60
-0.27,3.47
-0.20,2.07
0.07,-0.87
0.33,0.20
0.20,0.33
0.07,-0.40
-0.20,0.40
-0.33,-0.13
-0.20,0.00
0.20,0.00
0.20,0.00
0.20,0.33
-0.07,3.00
-0.27,4.47
0.00,3.13
0.20,3.20
-0.07,3.60
-0.07,3.60
-0.07,3.47
-0.20,3.47
-0.20,3.60
-0.07,3.40
0.33,1.93
0.27,-1.27
0.27,-0.60
-0.80,0.73
-0.53,0.20
0.20,-0.53
0.20,0.00
0.27,0.13
0.40,-0.27
-0.20,0.00
-0.33,0.13
-0.33,3.93
-0.33,4.20
0.40,3.00
0.53,3.40
0.07,3.60
-0.20,3.60
-0.27,3.27
-0.27,3.40
-0.20,3.60
0.07,3.47
0.40,1.00
0.27,-0.73
0.13,-0.27
